ability.1	ability.2	ability.3	ed.motiv.1	ed.motiv.2	ed.motiv.3
2.165462	.375583	2.395411	-.870947	.115308	-.435723
1.194598	1.801432	-1.999544	.265097	.513386	1.203924
-.163008	-2.032891	1.776129	-.620822	.947945	1.607996
-1.139067	-.225622	-.095796	-.499762	2.067635	.060989
-2.077453	-2.564406	-1.776912	2.530727	1.681831	.515153
-.477094	.040225	-.857018	1.995559	1.347888	.147885
1.561283	-.893377	-.609143	2.756731	.354156	.362109
-.690996	.746453	.088754	-.436667	-1.094912	-1.475646
-1.28478	-.034655	-.902669	-.534847	.102954	-.566396
1.714389	1.223061	-.060243	-.406699	.671153	-1.360702
-1.233577	1.250197	-.549022	.11623	.911636	.92968
1.812261	.90231	2.85091	-.833893	-1.88927	-.7516
-2.072474	.035643	-1.313668	-1.309242	-1.777579	-2.188333
.189888	.866162	.643082	.463569	.925445	-1.383467
1.695689	.931686	1.753307	.036584	1.045943	-.016951
-.390223	-.729256	-2.493882	-.108003	-.428606	-1.687117
.032095	-.85738	-.854727	2.143679	.715428	1.624607
2.064987	.961404	1.116645	-.210053	-.18803	1.2803
.609914	1.00129	-.242313	.103457	-.541646	.207185
-.067657	-2.187466	-.948331	.98339	-3.676451	.892936
.06234	.267815	1.158351	1.249845	2.014305	2.147939
-1.477224	-1.671108	-1.68538	1.110565	-.998872	1.429575
-.649448	-2.127232	-1.265572	-.93925	.725111	-.386992
2.510591	.279664	-.122764	-.550605	-.862738	-1.174311
-1.839532	-.564293	-1.373271	-1.062133	-1.398261	-1.190831
-1.010112	-.569695	-1.769796	1.986405	.751801	1.72619
.08298	-.693891	-1.224421	.346021	.321152	-.160672
-2.847975	-2.666539	-.735708	.331286	1.049405	-1.138962
.333717	.238066	-.220396	1.485129	-.687839	-.682759
1.404473	1.114228	.679762	.107673	.168726	-1.772417
-.205445	-.417401	-.539196	-.542367	-.064026	-.81389
-.193708	-1.411646	-.354809	-.355542	.839492	.956918
.524233	1.530703	1.236775	-1.160393	.942218	-.623854
.77176	-1.092299	1.55591	4.288605	.90843	.238072
.099489	2.271749	1.300232	-.77955	.295582	-.59011
.897205	1.50613	.926172	1.049659	-.49524	-.956887
1.610643	.777472	2.077107	-.647686	.689522	1.120116
.735344	.36618	.82391	-.846065	-2.757274	-.611285
-.400254	-.147954	-1.043919	-2.106782	-.657344	.04141
-.454465	.254753	-1.138152	.02844	-.124251	1.160285
-1.230551	-.144503	.321224	-3.389488	-2.101849	-.538569
-2.037792	-.594155	.303318	-.647495	.880231	.939584
.030562	.829801	.569118	2.251761	.594914	.869159
-1.620856	-1.441595	-1.747878	-.623215	-1.080644	-.602469
.285217	-.653989	-.397635	.968335	.37509	2.136804
.367411	.812974	.733388	-3.60673	-2.145139	-2.75497
-1.684484	-3.468767	-.971747	.556596	.876794	.229915
-1.073043	-.533126	-.307449	.496994	-.59488	-1.547453
-1.671911	-.144465	1.096568	2.206001	.131701	-.760193
-.576501	-.985976	-1.024019	-.171638	-.464276	.594681
.36754	1.606193	.580529	.230276	-2.080192	1.246267
1.608376	-1.020176	.486645	-1.900823	-1.138982	-.37953
-.019861	-.13374	.280955	2.365851	-.629092	.048153
-2.256054	-.863775	-2.807429	-1.431283	-1.350679	-.943178
-1.256385	-.146249	-.679604	-.100334	-.713488	.359121
.092525	-1.481523	.232467	-.791962	-.559403	.557004
1.223874	2.201089	.42171	-.830432	-.384077	-.529081
.445566	-.704905	1.452416	.713563	.013258	3.551043
1.177618	.174521	1.166227	-.098329	.27052	1.709082
-2.246281	1.255655	-.201676	2.960867	1.463402	1.085163
1.233261	1.26437	1.865026	.357459	-2.341369	-1.713994
-1.848238	.095959	-.996087	-2.544196	-1.228635	-.469904
.806914	1.614511	-.097388	1.861701	1.605785	1.455579
1.672475	-1.408992	2.271286	1.098675	-1.242154	-1.088506
-1.092887	-2.808906	-.960582	1.877122	1.34544	.083776
.327743	.225758	.358654	-1.89581	-2.3435	-1.595276
-.928073	.53028	.039038	.777424	.439402	-.285088
-.586316	.649128	.463939	1.587713	1.579117	1.461834
-.883399	1.604362	2.276609	-.988465	.224386	1.387249
-2.217327	-1.757798	-3.082201	.237799	2.569018	.245876
2.124376	-.53672	.662681	-.186578	.018904	.256713
-.599557	-.238069	-1.303991	1.187716	.907945	1.434185
.28714	.480798	2.4448	-.966912	-.885403	-.419213
-.890049	-2.177345	.876542	-1.149438	.475679	-.410706
-.625892	1.262775	.357747	-.176537	.493639	1.430376
-.6974	1.045495	.598324	-.964563	.357992	-.744935
2.487056	2.069392	1.173529	-.971198	-.593219	.114704
.417789	-.35467	-2.678431	-.32122	.712043	.713483
-.088554	.010571	-.218955	1.152567	2.542725	-.885886
-1.213685	-1.319396	-.934233	1.996252	.68061	1.938713
-1.133831	-.566114	-.83698	-1.356042	-.369867	.567443
1.157908	-2.331674	-.35716	1.980626	.330893	.584296
1.475989	1.210517	.78986	-2.554475	-.542499	-.422809
.107641	.970474	-.508219	-.411735	.901488	-.512399
.981373	.514577	.141517	-.403166	.554785	-2.381775
-.251704	-.538488	-1.086048	-1.711447	-3.036439	-2.581828
-.247694	-2.706083	-1.48787	-1.732631	-.868292	-2.567242
-.064649	-.413373	-.268623	.612976	1.872038	2.77872
.546014	-.432032	1.136647	-.713249	-1.486342	.668422
.770001	.621195	.172403	-1.77804	-.780641	-1.864105
-.059368	2.048155	.340757	2.947852	1.347519	2.047024
2.205793	.580804	2.404975	.477133	1.853792	.795589
.701069	1.474191	1.100501	-.577746	.16541	.281396
-.996201	-1.296009	-3.216227	-.026334	-.191722	-1.71252
-1.821327	-.110112	1.219528	-1.844766	-1.454343	-1.637446
-3.431124	-1.591468	-1.021937	-.438954	1.069342	1.045565
1.642708	-.03408	.563902	1.298277	-1.274347	-1.94255
1.150872	.101539	-1.840379	-.777324	-.723123	-.39574
.764951	2.339552	2.598173	.656338	2.075773	2.143346
.551916	.971639	-.337904	-1.318003	.127522	.051981
.49242	.133188	1.380796	1.025161	1.856639	1.516195
2.658314	3.297643	.302582	-.653146	-2.701759	-3.092895
-.280547	.186662	.629502	2.297066	-1.413808	-.078745
-1.20026	-1.24796	.902211	.703574	.771005	.031039
.562622	.722434	-.779564	-.597832	-.291266	.021986
-.382516	-.832218	-1.262443	.723146	1.203863	.545905
-.41926	.196784	-.927444	.937339	1.466904	1.025794
-1.009017	-1.325488	-1.605897	.537542	.566236	-1.505432
-1.30898	-.55789	-1.800006	-1.489715	-1.226878	-1.461167
-.556615	.725117	.146919	-.893066	.066957	1.947054
3.576727	1.607777	2.471653	-.267371	1.390854	1.447001
1.983373	1.199398	1.474216	1.475917	1.053069	1.488582
-.620839	1.754558	.555662	-2.037758	-.807632	-1.153083
-.69066	-.649695	.144872	-1.201499	.426488	1.746968
.339091	-1.207641	-1.693181	1.436404	1.133346	2.236733
2.560627	1.349757	.725618	-.016639	-.322506	-.562969
2.207206	-.062465	-.034662	.589636	-.29134	-1.934682
3.208965	3.640864	3.339655	-2.112482	-1.211779	-.992404
1.060055	1.292715	-.698769	2.115205	1.438856	.259848
1.670623	2.039934	2.2281	-4.159609	.562581	.170002
.616062	1.589571	1.738382	.98116	-2.018771	-1.072609
1.822147	2.229625	1.482384	-1.659822	.900452	1.086346
-2.938781	-2.536369	-.837162	-2.963321	-2.165075	-.736854
-1.511737	-1.096321	-1.635023	1.830015	.997243	-.797143
-.928424	.393903	1.39623	.036226	-1.702038	-1.176833
-1.501294	-2.419796	-1.485903	-2.261578	-2.449864	-.845497
-2.533177	.173115	-.432238	3.644748	2.006619	.922507
-2.232612	-.518454	-.710231	2.002302	.715397	1.564492
-.306538	.929503	1.632066	-.283721	-1.911186	.586349
1.330209	2.110009	2.216745	-.482928	-2.687789	-.417706
.361293	.461106	-1.63767	.360986	.744121	-.021654
-.915253	.888129	-.30477	-.020676	-.050194	-.287081
-1.407998	.327546	.241267	-3.624872	.097715	.527325
-.845104	-1.367115	-1.086778	.684531	-.422394	1.558148
-1.645543	-.366274	1.963974	-3.723802	-1.043196	-1.507944
-.885219	-.615077	.436974	.263848	1.785251	1.742334
2.118225	1.911602	2.121993	-1.403921	.706973	1.428746
-.393403	-.985594	1.043259	.692653	.440073	-.665096
2.821242	1.493834	-.040416	1.423125	-.629209	.151063
-.506708	-3.052896	-.151258	-.780739	.961434	-.971625
.317493	.379632	-.357946	-.986287	.185692	-.515648
-3.571296	-2.913862	-2.429677	-.681421	-.309048	-2.522176
.071918	.877572	1.189734	.517979	.940685	.023846
.569489	1.061204	-.293159	.011951	-.680224	-1.242135
-.973676	-1.320559	-3.649139	-.683543	-.436904	-.397259
1.2627	1.155262	.939339	1.156411	3.624105	2.123544
-.456793	-.068055	-.571296	.068558	1.940427	.869273
.676117	-1.350126	-.974039	-.432728	.486628	.968178
-1.706086	.189022	-.449847	-1.367437	-.605287	-1.078428
-1.060627	-.896442	.498273	1.633466	.595522	.718923
-.982633	1.554752	1.415169	-.693255	-.003488	-1.31147
.155452	.780223	-.301261	-1.511693	-.795325	-1.37
-.449236	.595698	-.939346	.579782	.352453	-.609942
1.311175	1.347479	1.098434	-.35655	-1.06815	.13214
-.449596	-.747486	-2.603669	-.060385	.680097	.871561
-1.743222	-1.312475	.543961	-.631006	-1.728936	-2.564507
.219928	2.586837	1.599252	.048243	-.22659	-1.056281
-1.584931	.642797	1.112551	1.294891	1.623963	.072215
-.773361	-2.909286	-.562276	-1.492133	-.737458	.525159
-.650023	-.507605	-.39311	-1.432108	-1.325103	-.291831
-.29482	-.853174	-.519354	1.373638	.623627	2.383013
3.587831	-.556193	1.123517	-.399057	-.799706	-1.246869
-1.131096	1.264398	1.904192	.289767	1.685847	.129538
-1.414902	-3.369355	-.571648	1.221706	1.46909	.439256
1.381131	.004824	-.677214	-2.785478	-1.086421	-.15644
.807215	3.379135	3.952222	.73128	2.075571	1.724464
.976518	.219525	.018117	-.339587	1.767072	-.658011
-.296452	-.736857	-.490436	-.238344	-.762342	1.195467
-.136476	.233741	-.884599	2.559114	.466668	.508418
1.126541	-.380037	1.09929	-1.040821	1.991894	-.007432
.800946	-.250456	.054974	-.802916	1.541319	.582292
1.095778	1.488411	-.78132	-.005118	-1.873852	1.075302
.674621	1.43408	1.558945	-1.181678	-.873773	.445193
1.034964	-.636407	.175173	.10712	1.759022	2.427212
-1.335089	-.525682	-1.321868	-3.888586	-1.590987	-.204976
1.898097	2.589572	3.01391	-1.233111	-1.506179	-1.145649
-1.235989	-1.283698	-.089492	.979966	1.027576	-.559582
-.876122	-.566254	-1.078088	.807796	-.913146	.81543
-3.262218	-1.619504	-.187249	2.566201	-.076494	-.011229
-.135238	.439138	-.017935	-.955633	.082049	-.09064
1.686358	3.703064	.262118	.818719	1.331198	2.624555
.077375	-1.565946	.335319	-.040585	-1.296166	-.024231
-1.77294	-1.639545	-1.283163	1.410848	.527826	1.281705
1.236922	1.379252	2.060968	.162657	-.631928	-.890361
1.211511	-.918839	-.609547	.67251	1.269793	1.167729
.580665	.270145	.717797	3.854672	1.170391	.626492
-.954561	-.98187	-1.409783	.9439	-.941081	-1.798961
-.394956	-2.054337	-2.305764	1.473663	-.224013	.484464
-.580426	-1.80656	-2.267485	1.623099	1.945999	-.16869
.942465	.43992	.679763	1.961185	1.021389	1.039392
.64572	-.669512	.424531	.449093	.368275	-.749748
2.855125	1.554035	2.214898	-3.851849	-3.365478	-3.418062
.747362	1.117471	.887659	-.035195	1.389859	1.7302
1.0489	1.206206	1.497866	1.946102	-.211307	3.505004
-1.663801	-.14424	-2.160192	-.74697	-1.163667	-.516378
-1.890322	1.265339	1.115903	1.049134	1.072618	1.050113
-3.457215	-1.820807	.711931	2.393917	.347811	4.10709
.064144	-.158942	-.141362	-.926853	1.545523	.914738
.149524	.014753	-.522797	-.892254	-2.786477	-2.707515
.620608	.297447	-.233035	-.138687	.190482	.97569
1.747252	.86211	1.767309	2.477216	2.077141	.968548
.585185	2.563075	-.839456	-.970454	.069734	-.884237
-.852039	-.642069	1.240342	2.149209	-1.984707	.055666
.818046	.488724	-.871274	.407122	1.621563	1.245239
-1.399179	-3.016922	-1.592916	.377003	-.59396	-.904724
-.408711	-.489126	.046931	-.109186	-1.181483	-.053265
.747281	.451528	-.073823	.484691	.615508	1.750791
.488858	-.44604	1.429455	.172999	.559066	-.296182
-1.487975	-1.850145	.296836	-2.019132	-.052542	-2.359896
-2.050955	-1.810758	-.546336	-.263468	-.372805	.030709
.373384	.109364	-.623369	-.405202	-1.18871	-1.469914
.261559	1.715197	.411086	-2.612752	-1.461776	.541369
-1.474186	.756262	.257117	.405893	-.936593	.138462
-1.308237	-2.542153	-1.329355	2.071851	2.062378	-.629337
1.457753	2.928141	2.443581	1.086065	.380861	1.109985
-.764964	-.121454	1.232477	-.702332	-.6304	-1.874684
-.448845	-.541892	.159337	1.206267	2.080639	1.541378
.000665	1.01778	2.914552	-.45544	.643114	-.086797
.798007	.38458	1.079677	-.968935	-.444075	-.585374
.608409	3.41733	.946821	2.592909	.526409	-.381606
-.072599	.851789	.481288	-.566158	.334757	-.308363
.241752	-.039816	.161627	-.066246	-1.120606	.330965
-1.816377	2.152645	-.80575	-2.096657	-.251514	-.780782
.149411	-1.703594	-1.859849	1.874677	2.637665	2.07596
-.347907	-.555942	-2.715057	-.172212	.802324	-.895158
.611045	.046254	-.328196	-1.96425	.454468	-1.715063
.925509	1.84445	.184857	1.209842	-.721667	1.083901
.70389	.427746	-.155239	-.613025	.30815	-.13082
2.28093	1.139794	-.598533	1.048269	-.036868	-1.089497
-1.473943	-2.365032	-1.022854	-3.332562	-.525917	-.457139
2.021209	.746267	.913871	1.488987	-.075409	-.819688
-.024473	1.188352	.539541	3.003439	.417613	1.099127
-.613722	-5.193272	-1.57247	-1.660047	-1.171685	-.473064
-.561856	-.435285	-1.403822	.513394	.027276	-.502101
-1.548369	-.603397	-1.562267	1.322699	.082614	.578013
-.21123	.363212	1.129009	.488066	-.921992	1.312712
1.37405	.70275	1.90589	-1.590279	-.986709	-.08647
1.979592	-.008331	2.865752	-.868168	.042372	3.245768
1.613852	2.656301	3.327321	.756801	-.80814	-2.026379
-1.678655	-.980485	.752195	.441671	1.040361	.04937
-.973411	-2.424114	-1.609525	-1.662673	-3.083115	-.64132
.923094	2.790827	.212318	-1.219725	.356517	-1.099618
1.408717	.19156	.181014	-.424992	-.56001	-1.468538
-.815208	-1.433396	.130179	-.218667	.543589	-.828441
-1.611165	.414045	2.264781	.468622	-1.990099	.287587
1.200031	.733091	1.423372	.782081	1.237079	3.262237
1.543329	2.934238	2.42328	1.49886	-.25734	1.974382
1.37477	-.71782	.460415	.515656	.146868	1.653723
2.495005	.158356	-.47356	-.705717	.539953	-.423683
-2.105731	-1.264956	.827102	-.069712	1.320839	-.187971
-1.55961	-.103357	-1.535943	-.540226	-.797748	-.521265
.197646	-.324044	-.631266	.523129	-1.173444	-1.09572
2.093062	.352651	-.31537	.141745	-.081898	.7045
2.871995	.621131	1.057332	-1.117629	-1.152176	-1.119776
-.198863	.25146	1.109975	.838412	.713363	2.27518
.975182	1.191217	1.174186	-.551663	-.517532	-1.716724
-.115273	-1.881159	-.54841	-.709067	-1.784708	.301177
-.631231	.881606	-.329308	1.23109	.236998	1.817385
2.056794	2.660411	2.522191	-.664458	-.577288	-1.409097
1.068655	.340209	2.189503	2.912992	.156614	-.591933
-2.194993	-1.82275	.075714	-1.305027	-.421146	-2.442184
-.069511	-.168617	-1.525208	.683752	-.924401	-.622624
2.403791	.54212	.46183	.429643	2.674352	.594914
1.224696	-.187145	-1.646798	.407183	.124761	.947726
-1.331587	-1.82119	-.890194	.979912	2.182225	1.065373
-1.438492	.086755	-.002985	-3.464633	-.171714	.082818
-.692262	-.748444	-.752542	1.912763	2.320236	2.282573
-.513623	1.297663	-.218892	1.383934	-.359593	-1.352488
-1.216069	-1.385796	-1.680987	-.148563	1.562234	-.685858
2.149798	-.052011	.747044	3.277962	1.20862	1.273066
-.244726	-1.122347	-1.830135	-1.794375	-2.002953	-1.251859
1.409227	1.690208	1.206908	-.706251	-1.158117	-.285302
1.97244	2.246527	3.28731	-1.761885	-.981636	-2.10018
2.087186	.368281	2.517995	-.658005	-1.589336	-2.292426
-.986375	-1.085315	-1.102042	.174934	1.814665	-1.301984
-.800873	-1.003568	-.795106	-.250222	3.052331	-.722193
-1.453988	-.507812	-1.676876	-.152334	.528556	2.444907
2.10616	.420244	3.358233	.237788	1.669112	.963753
1.573453	-.945379	-.886435	-.957361	-1.165178	1.3754
.823417	1.920644	.825098	-2.74095	-2.065859	.27266
.074209	-1.128041	.103612	-3.342863	-1.451791	-.902627
.440228	.098971	2.086558	-1.403529	-.916876	-2.311409
-1.70607	.942895	-.229237	1.012297	-.037495	3.334567
1.239812	.025236	-.286621	-.229492	.582382	-1.383009
2.412633	1.042037	.149986	-.978314	-1.163724	-1.356457
1.55338	1.356686	.890437	1.437105	1.711753	.312353
1.57809	2.207779	-.751739	-.885529	-.270758	1.084
-.05578	.937076	-.21714	-.836597	-.250453	-.624881
-.910951	-3.786989	-1.411768	-.070261	.055713	.555317
2.173335	1.899076	.889739	.317282	1.346219	-1.467178
-2.601493	.083896	-2.407801	.473666	2.148875	.169064
-1.956915	-.156877	.222381	1.286737	.187568	.582689
-.204998	-.026948	-.999397	-1.371036	2.125277	1.272137
.219375	1.317415	.70598	.234457	-2.495159	-1.439903
-1.408407	-1.518301	-.47839	.210791	.446841	-1.180189
-3.28845	-.038803	-1.443907	3.198613	.168309	1.822035
-1.891323	-1.29221	-1.205385	-.211411	.607097	1.489808
-2.011941	-1.159934	-.272682	-2.665392	-2.394269	-1.630654
1.921546	-.954715	-1.284195	1.573493	.963202	.222557
.537313	-.931111	1.173284	-2.082507	-.750829	-2.624203
.202646	.539728	.473551	-.503728	.401082	-2.001651
.754429	1.178377	1.461384	1.196102	-1.312438	-1.541397
.017022	-.542767	-.085119	2.275853	1.169183	.027915
-2.106577	-.381965	-2.424348	-.216326	-.185454	.42684
-.765554	-.363694	.579039	.181324	-.101375	.515522
-1.217618	.047106	-.851549	.482986	-.491483	.681025
-.130312	-2.112398	.186192	2.6602	-.199844	-1.006938
3.005319	1.337048	-.345098	.614061	-.418389	1.091892
-1.042053	-2.41104	-.960421	-.598127	2.312379	.678827
1.814407	2.783502	2.268055	-.129533	-.405467	.348407
.466471	-.33576	-.008299	-1.039222	-.222537	-.85994
1.621911	.711862	-.528174	-.806994	-.143503	2.886102
-2.269872	.642923	.075872	-.317638	-1.904235	-.020044
-.232791	1.060249	.954246	-.467543	-.652734	-.64266
.521561	.44535	1.357706	-.155345	-.486773	-.812831
-2.796977	-.640401	-2.222424	-.986455	.215502	.218224
1.261994	2.539545	1.442181	-.211833	-.98361	-2.183342
-.342363	.538549	-1.021067	1.639726	-.126403	2.043658
-1.220184	1.794507	-1.737361	-1.529489	-1.178292	-1.330374
-2.120554	-2.474306	-3.90729	.338165	-.704419	-.480026
-.219039	2.381394	1.807347	-2.150535	-.347131	-1.525397
-.629118	1.300485	.32492	.421399	-.44191	.585111
-.470862	-.94545	.6409	-.407144	-.437294	-.06419
.182713	.415159	.100832	.376538	-2.04125	-.202387
-1.468839	-1.401195	2.536126	1.146698	-1.278083	-.829494
-1.476052	-.331153	-.370338	-.14102	-.721424	-.315748
.022938	1.359211	-.903399	-.696598	.869049	.7334
.158233	.164676	.235154	1.996864	-.016635	3.437473
.086024	-1.376553	-1.244415	2.192922	.372591	1.30531
-.779157	-.190569	.80257	2.739821	-1.977659	.385223
-.418194	-.789519	-.861811	-.948074	.564018	-.341602
-.335586	.778154	-1.226206	-.337943	.044407	.370206
.002464	-1.326318	-1.749502	-1.391224	-.489857	-.374648
-1.442552	.631739	.999257	-1.542135	-1.299534	.767898
.588484	-.750642	-1.765071	-1.404454	-.471768	-1.56675
-.33642	-1.597176	-.403896	-1.691237	1.069657	.504216
-2.336436	-2.168977	-.458429	-2.702104	-3.733218	-1.310909
.651754	.605579	.55552	-.157215	-.090426	-.942697
-.394791	-.265001	-.77286	-.020658	-1.235569	-.16338
-1.272405	-2.29692	-1.003449	-1.995933	-2.05855	-.305886
-1.04996	-1.432491	1.247337	.250044	.248739	-.835554
-2.345276	-1.065528	-1.635338	1.063707	2.620378	-1.069922
-.726553	.204408	-.946946	.863094	.016222	.013332
-.151109	1.575493	2.485855	1.804974	-.789052	-.351092
-.202228	-.642588	.257711	-.604353	-1.185503	.014639
1.034894	.390276	-.904288	1.749433	-.254263	1.970057
-1.114434	.447699	1.40623	.490433	.573729	.189165
.753254	1.74571	.429322	-1.072457	-.84407	-1.217235
-1.051339	.190896	.729924	2.603261	.630929	2.177522
.451548	-.409388	-1.165312	-3.200195	.217097	-.351995
-2.737789	-1.606563	-.059941	-.164173	1.454421	.910116
.927395	-.64113	1.889683	.157255	1.039274	2.955688
1.782026	.172604	1.169408	-1.091878	-1.662062	.977575
2.515544	-.817171	2.322511	1.371492	.404998	1.567338
1.311753	1.283527	2.020608	3.035592	.608837	1.013671
1.117193	.752695	-.253623	-.997459	-.445575	-.782976
-2.279703	.906156	-.610895	-.384515	-2.520557	-1.601627
-.583643	-.688736	-1.456501	.257055	1.047847	2.886217
1.23304	.654027	2.832321	.09283	-1.813999	-.570713
1.449566	.609843	1.317902	-1.374929	-1.077103	2.049736
.227427	-.899319	-.193134	-.629259	-.729012	-1.370772
2.294743	1.89459	4.159288	-1.145405	-1.286332	.009365
.819774	.720336	.786883	-.711718	-1.091618	-.367216
-.368952	-3.467644	-1.638144	-.410514	-.732027	.25502
.058094	.854988	-.829815	1.4279	-.872908	-.63068
-1.903591	-1.220813	.299323	-1.849533	-2.431248	.378145
.288804	-.966006	-1.939802	1.481067	1.081698	-.272779
1.271593	1.801575	1.389176	.36347	1.399083	-.019792
-2.333487	-.300005	-1.380027	-.382845	1.149602	.080888
-1.661436	.199095	-1.188342	.225039	2.758221	2.806182
.024691	.109296	.718193	2.014971	1.095576	.508066
-1.842963	-.849678	1.014385	-1.248761	-2.331571	1.827659
-.082896	-1.222216	-.492875	-1.254988	.351221	-.421828
-.175331	-.075561	2.320621	-2.376755	-.813027	-1.183756
.302522	-1.349032	-.1977	1.710891	1.349419	1.669877
-.614895	-1.712727	-3.01528	-2.558595	-.131712	-.882277
-.307637	-.613617	-1.816329	.610339	1.59579	-.430167
.646422	-1.326029	-.32445	1.050605	1.079747	2.139148
1.760036	1.931292	3.001596	2.149405	-1.001101	.918621
-1.464362	-2.143118	-.728352	-.426174	2.421099	1.446559
3.112277	2.626351	3.348238	-4.54613	-1.755525	.04121
-2.827756	-2.428875	-3.226369	-1.956219	-1.936967	1.001543
.729314	-2.126997	-1.631356	-2.696827	-1.613393	-1.848102
-.075424	.080115	-1.664669	-.115812	-.221268	.141242
-1.181426	.388816	-.434135	.444188	1.889173	.217348
.731731	.678593	1.024158	.670016	-.689989	.322056
-2.300966	-1.96022	-1.364654	.965272	.783204	-.249782
-.972763	-.65341	-.491627	.041717	1.203984	.382076
1.263959	-.003819	-1.002591	-.823284	-.645323	-1.530846
.863138	-.684492	.476975	.459367	3.055466	2.55887
1.832264	1.969922	.98169	-.120797	.191054	-1.88416
-1.859665	1.146966	-.248951	3.286369	1.813275	-.700156
