V1	V2	V3	V4	V5	V6	V7	V8	V9
-1.51916	-.024524	-.801972	-1.063719	-.35993	-.012283	-1.915834	-2.6568	-.471824
-.800097	.743781	-1.244314	-.005491	-.22505	.66616	-1.008454	-1.434183	-1.006883
.197888	-1.713147	-.046398	.044954	-.156499	1.126001	-.302101	.034023	-1.326172
.523705	.507713	.516461	.690396	-.383084	.164585	.537465	.483171	.609174
-1.828327	-1.687016	-1.910614	.795179	.207382	.363257	-.224127	1.441228	.408114
-.811015	-1.557639	-1.110157	.984109	.273236	-.861323	-.396438	-.941663	-1.053116
1.602637	2.349286	1.816951	-.785556	-1.100763	-1.571322	-.315155	.563952	1.393364
1.705025	-.340409	-.42979	-1.80046	-2.448918	-.617716	-1.270599	.087854	-1.639994
-.396022	-.067475	-1.140658	-.905841	-1.05926	-.123333	1.342181	1.051915	-.285131
1.531213	.246976	1.688692	-.615852	.050049	-.333601	.844709	1.270959	-1.441806
-.115264	-1.445395	1.274893	-.438987	.692553	1.240218	-.805442	-.149885	-.058149
-1.468981	-1.805716	-1.240624	1.789494	1.384857	.556866	-.337356	.033113	-.607238
1.103994	-.650539	-.443889	1.949303	.387216	.355438	-.488608	.537787	.06627
-.908477	-.012593	-.632893	-.378194	.055123	-.423296	1.212256	.854414	-.061386
-.872271	.90143	-.385782	.082187	.696688	.753532	1.281462	.625197	2.014448
-1.465461	.044844	-.919705	-.925774	-1.404996	-1.771436	.134271	.614713	.453824
1.199033	.647201	1.23277	.025869	.795169	.062026	-.275929	-.515387	-1.772187
.022694	-.610549	-.606566	1.51581	.634973	1.299318	1.460166	.664883	.775731
.431274	.706946	-.181341	.073155	-.406519	.117215	-.04784	-1.556311	-.667721
.044081	.190034	.824369	.883774	1.582055	1.756927	-1.044555	-1.175544	-1.183486
-.459229	-1.507972	-.889342	-.66415	.509793	-.256198	1.775256	.175462	-.109111
-1.300745	-.384354	-.961962	-.751041	-1.10657	-1.002333	-.714257	-.395993	-1.251443
.058676	-.494663	-.871139	.244674	.258545	-.088122	-2.013823	-1.87117	-.491621
.235973	.166309	-.160719	1.050145	-.458047	-.518775	.993113	.779864	.469127
-.145271	-.295158	-.381238	-.383511	-.071894	-.618026	-.136972	-1.002931	-.246317
.370689	1.084564	.871973	-.820521	.665013	-.420893	.545717	-.784705	1.106858
.070349	1.616001	.918044	-.551225	.190758	-.432832	.63442	1.06357	.64756
1.138896	.538237	1.46487	-.457983	.495323	.861061	.519967	.253721	.580061
-.283023	-.101546	-.740444	-1.48972	-.589317	-.063916	-.321355	.185593	-.808624
-.870131	-.091288	.239622	-2.39673	-1.740456	-.623397	-1.440937	-.403746	.235085
.021611	.590331	.402528	1.592236	.548181	.735347	-1.146118	-1.010836	-1.227688
.201679	-.468163	-.283489	.684716	.326221	1.626748	.259799	.575189	.516941
-1.19111	-2.453095	-.666571	.393573	.689182	.244324	-.758756	-.369374	-.208487
-1.182219	-.087113	.796017	1.559878	.194757	-.501727	-.407648	-.69636	-.721811
.25989	1.139768	.405121	.16283	-1.568419	.779124	1.137293	-.741233	.337414
-.014044	-.095004	.200947	1.67291	-.375613	.045332	-1.595271	-.593599	-1.979947
-.888398	-.092288	-.473694	-.070947	-.545663	.21266	.065425	-1.055356	.170281
.86541	1.555143	.282741	-.587204	-.327112	-.436817	.315062	-.505909	1.03436
.832702	.113151	.821174	-.069529	.201027	1.279086	-1.588361	.914831	-.12986
.872047	.888337	1.31502	.252762	-1.761117	-1.422724	-1.306902	.085667	-.695343
.570574	1.141559	-.081828	1.316421	1.298398	1.230775	1.182618	-1.018578	1.610629
-.772788	-1.988993	-.665825	1.327325	1.101528	.199614	.231749	.157605	.252204
-.656247	.386152	.033544	.549722	.36681	-.161813	-.414588	.467532	.333247
-.624657	1.150219	1.624594	-.69895	.127758	1.017784	-1.567887	-1.230291	-2.172962
1.50216	-.401977	.456957	-.131931	.006323	.186665	-.423951	-.163813	-.923904
.203039	.339514	1.738929	-.68371	-.713353	-.394123	-.62936	-1.54138	.640018
-.442573	.904672	.255665	-.12483	.366953	1.087178	-.493136	.750693	.428548
1.758614	1.449536	.808859	-.686741	-.491846	.020703	.295421	-.256365	-1.911726
-.062617	.008356	-.155414	.814988	1.978805	-.448741	-.858205	-.927686	-.651381
-.80174	-.392282	-.585396	-.958866	-.338925	.36202	.818765	-1.670469	-.255782
1.043682	.847726	.54669	-1.806287	-.521424	-.408917	.076114	.689731	-.366688
.693936	.357033	.091005	-.285081	.403605	-1.729222	-.177982	-.380908	-.7703
-.175146	-1.92375	-1.049049	-1.225155	-.733287	-1.996889	-.045714	-.293614	-.189503
.38609	-.312633	.807435	-.504343	-1.158403	.37262	.544473	.434905	.114376
-.04198	1.45835	.236096	2.084446	1.149133	1.674234	1.559731	.392664	1.694446
.495731	1.04268	.77357	-.408528	.100666	.206275	-.704421	-.913084	-2.280181
-1.287873	-.061259	.884783	-1.304447	-1.182766	-1.354037	-2.426171	-1.100499	-.694753
1.16157	-.039693	.388683	.91802	-.911084	-1.494819	.81379	.061456	-1.321887
.540902	1.658007	1.837704	.464101	1.60318	1.744294	.390264	.686386	-.24891
.348194	.090171	.979915	.724898	1.452769	1.274093	1.879712	2.322145	.182122
-.198377	.135494	.450432	1.624271	-.973963	-.105263	-.848712	-.876967	.657535
.397834	.508911	-.562984	-.422731	-.246693	-.017958	-.27048	-.588744	-.893935
-.296461	.144003	-.658482	.662799	1.153288	.882426	-.713483	-.933945	-1.131896
-.925588	-.384783	-1.270573	-1.053388	-.994917	-1.199694	-.393586	.521339	.106713
2.529128	1.110739	1.727066	-.18906	1.043799	1.160607	1.402456	.835044	1.030476
-.438999	1.254656	.394965	-1.440912	-.700379	-.955141	-.48837	-.455936	.111274
.239773	-.862735	-1.2056	1.015691	.921659	1.764691	1.810637	.936639	.491497
1.560731	-.065201	-.042587	.416936	-.195703	-1.435939	2.269081	2.561261	2.34164
.749572	.910139	-.511503	1.495676	1.18264	.341682	1.181309	1.436242	1.567509
.435622	1.125602	1.228626	.693785	-1.489538	-.912022	1.288452	1.569832	1.033934
-2.078032	-1.777666	-.563673	-2.095385	-1.770108	-.764554	-1.06896	-.76611	-1.149359
-.656495	.289088	1.001636	.025616	-1.289842	-.988285	-1.061575	-1.708203	-1.038393
-1.791227	.14702	-.28801	2.577226	1.679175	.906087	-1.578695	-.348034	-.486192
-.216755	.664462	1.162757	-.200621	-1.462284	.291886	.9406	1.489317	1.561954
.255473	.324801	-1.17218	.255255	.58011	.044701	-.647182	.640734	-.212958
-.995605	.246365	.182383	-2.563172	-.081684	.31346	-.597579	-.965114	-.762988
-1.163575	-.245236	1.415007	-2.633125	-.951588	-1.272385	-.625944	-.429468	.320998
1.497811	1.340694	1.48865	-.992722	.476056	1.072941	-.278178	-.697808	.750539
1.994919	1.036738	-.057295	1.006302	-.416228	.099772	-.358297	-2.168163	-.092755
.224501	.267223	-.259157	-.69741	.098493	-.390308	-2.525288	-2.040407	-1.692509
.050854	.623943	.844482	.366266	.735999	.095747	.40269	.749969	-.217474
-.688493	-.93077	-2.588919	-.483338	-.360879	-.339822	.892864	.810402	.655207
-.323001	-.044146	-.403313	.048478	1.475221	.780328	.478087	-.967317	-.695146
-1.206385	.15057	-.307403	-.966924	-.518037	-.870416	-.749976	-.628084	.367146
-.694826	1.115841	1.011427	-.490205	-.032448	-.984707	.109921	.553869	-.21885
-.317658	.428215	-.668149	.409968	.292343	-.412387	.927141	.946759	.767547
-.317912	-.527805	-1.849907	-.042699	.513419	.690252	-1.232644	-.917784	.406806
.155513	1.839136	1.129113	.034113	-.169848	-.794999	-1.120715	.472409	.803881
-.546849	-2.063441	-.384115	-1.055097	-.62368	.301774	-.459635	-.355184	-.273119
-.20847	-.604483	-.364799	.971309	.532218	1.835372	2.536979	-.429589	.773577
-.799805	.910575	1.36233	.204896	1.291571	.221102	-1.000487	-2.384871	-.38389
.976607	-.009545	-.494157	-1.96963	-.944049	-.255799	.570787	2.397542	2.798996
.690502	.147072	.004123	-.240125	1.326145	-.369223	-.209623	-.521679	-.344585
-.096503	.167649	-.630387	1.809567	.464089	.466907	.796585	-.28108	.775855
.566355	-.185791	.033522	-.567747	1.13494	.520319	.774832	1.049092	-.57135
.477029	1.014379	1.100775	-.835572	-.713762	.240207	.73183	-.462694	.11868
-.94405	-.361613	-.929588	-2.749645	-1.374301	-.352428	1.342157	1.825313	2.123914
-.873976	-.902068	-.049073	.692941	.821786	-.318465	-.619512	-.394803	-.759405
-2.306736	-1.122041	-.100952	1.814578	.052276	.044998	-.095628	.313831	-.01325
1.192436	2.61984	.159792	.578922	1.045224	2.050941	.054712	-1.115302	.244035
-1.253658	-1.1503	-.894416	.99762	.46113	1.016083	.874636	.970071	1.454274
.856668	-.665376	-.441218	.475536	.992349	.967308	.410592	.186822	.50602
-.674977	-.689884	-.993754	.667438	-.673457	-1.373387	-.279276	-1.45848	-1.633288
-.410423	-1.28038	-1.605363	1.147704	1.546274	.049664	.666423	.304261	.47533
.456593	-.482599	.299769	.317557	.298729	-.517516	2.018878	1.079268	1.550123
.528465	.788346	.622722	-.024887	1.053024	1.375008	.741684	.848671	1.054976
-1.176485	-.087029	-1.525936	-.528187	-.915028	-.480466	-1.336659	.918378	.806546
-2.44462	-1.263487	.542433	1.692755	.366806	3.112612	.045357	-.113731	-.10074
.105729	.009095	-.374003	-.630919	-2.152559	-2.216449	.438836	.205879	-.172294
1.235493	.597195	1.242579	1.751656	1.682493	.918362	.413788	1.818791	-.612458
-.602483	-.448991	.893579	1.51972	-1.413481	-.049605	.578446	.340167	-.629626
-.989369	-2.134172	-1.113387	.266582	-.434453	-.701435	-.289002	-.344299	.038561
.528407	.314357	-.060375	.342729	.487844	1.347535	.345675	-.322067	1.016709
-1.052157	-1.302874	.230451	-1.427742	-.126663	-1.792815	-1.450244	-1.26955	-.366208
.264022	.074332	-.44788	-.286521	-.919337	-1.178665	.18495	1.218348	.284796
-1.042407	.552129	.19269	.28701	-.69318	.045542	-.925063	-1.797105	-.927928
1.030787	2.070431	1.719701	.767964	.33566	.871473	-.540911	-.079257	.885394
-.317382	-.381478	.119218	.85296	1.630512	1.312619	.00047	.724407	2.074262
.564276	.266229	.761829	-.68514	-.378588	-.485789	.43021	2.426596	.657809
-.051335	.60695	.340678	-.400334	.229655	-.217102	.170944	-.030611	.113391
-1.284372	1.549231	-.567267	-1.48256	-.280963	-.642329	.10565	-1.213952	-1.321094
-.246007	-.392427	-1.93084	-.121772	.60135	-.608531	.432074	.02718	-.239161
.654434	1.304106	.117601	.855487	-.495547	.777342	.497726	.297837	-.11798
1.612861	.789824	-.449503	.741238	.017089	-.783293	-1.042235	-1.669481	-.708685
1.42921	.512169	.632294	1.052873	.006792	-.576659	-.017305	.846049	.380609
-.433967	-3.690588	-1.09746	-1.173831	-.960362	-.46992	-.397292	-.304538	-.994681
-1.094862	-.414923	-1.098952	.93529	.119542	.462969	-.149362	.260504	.805352
.9716	.487277	1.34501	-1.124497	-.817015	-.169763	1.399783	-.024532	2.026917
1.141166	1.87548	2.34945	.535139	-.580633	-1.53626	-1.186988	-.682095	.553547
-.688306	-1.716236	-1.130841	-1.175687	-2.410748	-.728949	.652726	1.97772	.133811
.996114	.123107	.116816	-.300515	-.44317	-1.133796	-.576439	-1.012571	.104626
-1.139266	.30984	1.62639	.331365	-1.489817	.082874	.84855	.510507	1.00232
1.091298	2.073966	1.704503	1.059854	-.130821	1.474352	.972109	-.523833	.319547
1.764235	.089266	-.358646	-.499017	.379345	-.291005	-1.488977	-.880556	.611471
-1.102811	-.05891	-1.081883	-.381997	-.628504	-.45356	.139757	-.232498	-.450518
1.480019	.231334	-.243266	.100229	-.056046	.51779	2.030807	.415107	.728046
-.140617	.180847	.79208	.592847	.577296	1.749815	.689558	.838695	.824868
-.08151	-1.337847	-.383307	-.501386	-1.384605	.080454	-.446347	.633422	-.232758
1.454373	1.874242	1.771792	-.469843	-.466573	-1.096588	.755653	.232104	1.551012
-1.552094	-1.276732	.078503	-.922794	-.375639	-1.863236	-.049151	-.119361	-1.086213
1.699737	.36327	.307608	.303804	2.047599	.637673	.865991	-.14471	-1.183446
-.941574	-1.283735	-.61722	.692902	1.697858	.963041	-1.017168	.075266	.009356
-.489503	-.526206	-.528164	1.352527	1.842674	1.893082	-.363186	.928449	-.156491
-.859891	-.974924	-1.183517	-.10505	1.178938	-.399856	1.520137	-.057221	.515159
-.173047	-.79654	-1.298759	-1.268815	-1.596851	-1.106764	.996474	1.189777	.842852
1.394726	1.58045	2.319452	-1.245841	-.820543	-1.660589	1.475863	.242514	1.776756
-.697473	-.763213	-.773721	.123697	1.384374	-.82972	-.566302	-.706772	-.556706
-1.028125	-.347777	-1.181778	-.107717	.394486	1.839491	1.48928	.279321	2.375457
1.112599	-.687667	-.641496	-.676956	-.925218	.911821	.582244	1.359297	.574621
.052474	-.80359	.077299	-2.363761	-1.245229	-.845402	.311288	.066307	1.483634
-1.206374	.687145	-.152819	.715802	.015067	2.483306	.876679	.006312	-.214601
1.705989	.719007	.083418	-.691772	-.925015	-1.106214	1.098405	.951036	.617237
1.115878	1.556576	-.55679	-.626163	-.243501	.761275	-.039442	.667495	-.157705
-.64414	-2.686861	-.985485	-.049682	.039251	.412458	1.53678	1.331261	.609715
-1.839534	.084159	-1.695596	.334932	1.650792	.28713	-1.383748	-.09327	.175152
-.144955	-.017254	-.710737	-.969469	1.553589	1.057977	.155122	.935619	.496809
-.995894	-1.067429	-.324082	.149052	.348096	-.835339	-2.325286	.003283	-1.002321
-1.337368	-.901969	-.839238	-.14949	.451539	1.138271	-1.422657	-.806687	-.173757
1.358738	-.697583	-.927897	1.112628	.798458	.268233	.379938	-.667775	.835412
.143292	.382252	.334022	-.35619	.282662	-1.461606	.533462	.83163	1.03148
.012036	-.386479	-.058882	1.609271	.984936	.155053	-1.489575	-.252071	-1.709783
-.541328	-.251668	.420402	.128215	-.069122	.37775	-.860986	.04497	-.597291
-.092144	-1.502292	.141375	1.881045	-.037274	-.696943	2.125081	.923414	-.275464
-.736843	-1.706286	-.667551	-.42294	1.728776	.650638	1.282979	1.964131	1.592154
.329845	-.243364	-.00854	-.734841	-.213521	-.674569	1.146864	.491433	-.392406
-1.605042	.478936	.070403	-.224604	-1.458468	-.156261	-.164608	.756829	.678437
.368799	.312081	.962097	-.109846	-.37601	-.638185	-1.977762	-.429528	-1.559236
.892364	1.795684	1.008755	-.149788	-.755408	-1.686703	-.242087	.386534	-.727084
-.862801	1.288721	-1.235059	-1.081512	-.959763	-1.100581	-1.499458	-1.741181	-2.759433
-.154884	1.697035	1.281808	-1.520658	-.355827	-1.200247	-.444853	.931543	.232153
-.33295	-.668507	.464171	-.287894	-.349293	-.087536	.129197	.293776	.068903
-1.038626	-.98351	1.825175	.810838	-.920435	-.676483	-1.043726	-.22183	-.250741
.016219	.967215	-.649126	-.492569	.629434	.586978	.111887	.115723	.165764
.060828	-.980581	-.882975	1.55063	.376967	1.040461	-.550947	-.128317	.579258
-.295708	-.558017	-.608168	-.670389	.387186	-.234229	-.237295	.557011	-.874249
.001743	-.944041	-1.242569	-.983744	-.431478	-.343037	-1.020038	.463201	.721981
.416121	-.539806	-1.260534	-.993099	-.418322	-1.222511	-.237885	-1.133642	-.279479
-1.65211	-1.521832	-.299912	-1.910676	-2.948688	-1.293067	.46086	.424902	.388542
-.279159	-.184907	-.54682	-.014607	-.93836	-.208212	-.899726	-1.622895	-.696747
-.742433	-1.009721	.903018	.176808	.199477	-.593865	-1.65836	-.73636	-1.142859
-.513751	.152316	-.669893	.610299	.049411	.030727	-.10685	1.12279	1.767874
-.142997	-.455467	.187692	-.427342	-.925464	-.086552	.73178	.268058	-.654589
-.788024	.329126	1.010098	.346789	.456392	.191357	.532631	1.235445	.293657
-.743409	.145751	.528332	1.840783	.590617	1.712237	.319293	-.295629	-.833039
-1.935909	-1.117758	-.014535	-.116088	1.096465	.770922	.655767	-.465044	1.341928
1.260083	.106107	.818492	-.772074	-1.308005	.579908	1.778758	-.605267	1.638118
.927549	.901235	1.425229	2.146488	.59244	.860985	.789974	.525239	-.192674
-1.611994	.666386	-.420085	-.271893	-1.928969	-1.369327	-.412698	-.484729	-1.031152
.871891	.453923	2.006834	.065641	-1.372357	-.547221	1.024998	.42044	.925521
.160815	-.642235	-.136339	-.444953	-.580179	-1.07817	1.622628	1.326927	2.939739
.579668	.505002	.551703	-.503261	-.858846	-.364416	-.260889	-2.464657	-1.152466
.041079	.607999	-.595149	1.009678	-.600926	-.494662	-1.346042	-.851036	.23338
.204216	-.690277	-1.38188	1.047272	.884392	-.091369	.899152	1.270337	.973529
-1.650025	-.191604	-.963674	-.270712	.855788	.132	-1.174813	.15732	-.83431
.017459	.07756	.511438	1.4248	.917873	.498524	-1.303172	-.587447	.741353
-.058616	-.869143	-.346338	-.887411	.212536	-.315495	-.123978	-.052134	1.65618
.213915	-.963028	-.1386	1.209783	1.097401	1.367533	-.434796	-1.21327	-2.138552
-.217532	-.433856	-1.290221	.431575	1.237022	-.191293	.457089	-.949887	-.231868
1.244533	1.358074	2.118623	1.519859	-.667175	.657065	-1.03546	-1.511622	-.499595
2.200712	1.840082	2.352184	-3.2146	-1.527409	-.197235	-1.999526	-1.7022	-2.268338
.515703	-1.520761	-1.161431	-1.906945	-1.340071	-1.540313	-.053333	.057731	-1.186483
-.835395	.287845	-.301218	.314088	1.45248	.303815	.517412	.476119	.721738
-1.627029	-1.373581	-.947037	.68255	.635741	-.107214	-.687847	-.455929	-.340187
.893754	-.014595	-.725141	-.58215	-.525022	-1.194935	.610331	-.495304	.335429
1.295607	1.384891	.677814	-.085416	.139767	-1.380876	-1.314982	.833838	-.166345
.800191	.875425	.837267	-.088392	.452358	.208609	-.51068	-2.237926	-2.548106
-.252973	-1.45631	-.852981	-.687188	-2.257213	-1.483452	.855013	.769038	-.765128
2.407983	2.015808	2.214068	1.214988	-.019509	.981286	-.315156	-.695739	.787482
.348243	-1.057225	-.459993	-1.33116	-.676097	-1.528437	-2.178755	-1.077101	-.458744
-.576962	-.587563	-1.061708	.771295	1.792311	1.349932	-.937792	-.084558	-.000266
-.233345	-.450191	-.491342	.428327	.959514	-.945809	-1.297187	-1.094827	-.219104
-.583177	-.470409	-.39201	-.089189	-1.092723	.872318	1.778312	1.132341	.15062
-.056127	.400364	.372057	.454714	-1.972322	-1.632799	.946643	.92544	.937747
.0506	-.299975	-1.434649	.206841	.342535	-.647017	1.015954	-.082849	-1.117594
.711182	-.042191	1.133794	.267839	1.280167	1.09214	-.23765	-.096027	-.289272
.934745	.768069	.193993	.689793	1.690529	.533618	-.640296	.042387	-.299287
-.037747	-.172193	.668187	.212397	2.441267	1.527345	.240203	.728964	.760015
.086422	1.307182	.016561	-.061778	.516844	1.041211	.613855	.529055	.613404
-.438126	-1.776963	-.478148	.380304	.949727	1.383783	-1.100266	-.924022	-2.035271
-1.889571	-2.14689	-1.726706	-.084986	.374327	1.329486	1.430066	-1.404879	.573636
-1.288237	-.072829	.521763	1.067399	-.444662	1.317777	-.970142	-1.19671	-2.199729
.415962	.661345	.029834	.192565	.038729	-.870432	-1.484566	-1.097699	-.718669
-.169892	2.402079	-.018061	-.372137	.5302	-1.03366	.825387	.451297	1.164328
1.897978	.670354	-.337501	-.653836	.997925	2.049073	.36941	1.464897	1.1277
2.118676	1.652727	.830389	-.973803	-.00797	-1.991052	.332051	.241553	-.124857
-2.230767	-1.419891	-.928466	-.042394	1.860744	.561876	.015352	-.93302	.309477
-1.078868	.462057	-.879077	-1.15619	-.989373	-1.099179	.011458	-.769576	-.431472
-1.095794	-.313822	-1.18743	.931504	-.103476	1.005633	1.158743	1.510412	1.169076
1.5928	.946723	1.535464	.648898	-1.267797	.172321	.934354	.893241	.028057
1.933101	.649347	.78937	-.011208	.275409	-1.182431	.586097	1.095891	-.150594
-.289744	-.220913	.408352	.997928	1.057916	1.509186	.477991	-.366551	-.648124
-.096704	-1.278675	.034955	-1.117791	-1.196821	-.223931	-.282443	.869494	.535748
1.840188	.170835	1.893949	.792465	-.560862	-.256735	-.632592	-1.271216	-.295891
.601217	1.596462	.793103	1.030523	.728564	-.272378	.385375	-.510822	-.325865
-1.842958	-1.573253	-1.77807	.258762	1.706901	.292429	1.494886	2.827686	1.34244
-1.117918	-1.190558	-.640821	-1.509134	1.163889	-1.16439	.038667	.897629	.163843
-2.064194	-.021648	.422706	-.605451	-1.939424	-.789037	.030618	-.717656	-.316909
-.114403	-.432572	.882011	-.621091	-.155888	-1.290231	-1.288241	-2.504747	-1.226289
-.831345	-1.996419	-1.416804	-1.097118	-.892416	-.694126	3.446497	1.26354	.662734
-1.45126	-.843395	-2.00293	.828195	.851362	-.246529	-.566785	-.137834	-1.323032
1.336963	.14153	1.13938	-1.294737	-1.023285	-.015526	-1.606434	-.153028	.460123
.182144	-.320534	-.606788	1.03167	.415874	-.269593	1.268747	1.7962	.526208
-.122638	1.347552	1.022377	.487411	.47042	.422719	-.187105	1.105427	1.440316
.460409	-.740773	.394173	-.01252	1.449968	.84369	.148606	.284504	-.871012
.2312	-.075971	-.218456	.616398	1.55399	-.068332	1.243464	2.371386	1.096915
-1.315478	-1.678855	-1.597574	.526036	1.157614	-.545566	-1.282246	-.536843	-1.487663
.982914	-.383746	-.946065	1.970733	.856976	.048	2.79664	.816077	1.983901
.035652	-.953473	-.71988	-.547827	-.094499	1.148089	1.462898	.715911	1.822873
-.265706	-.598639	-1.462109	-.341791	-.409549	.501145	-.00085	-.122996	-.870359
.095413	-.06647	1.271935	-.191832	-.953754	-1.025194	-1.930079	-.533417	.022256
-.809941	-.924931	-1.357042	-.314746	.13536	.801738	-.611958	.472879	-.02454
-.417892	.712221	-.139609	-.35865	-.557094	.29459	.199591	.891237	.876581
-.971004	-.903175	-.482697	.705399	-.310381	1.247153	1.701767	.340378	.989084
.430075	.010103	-.987713	1.140472	.952205	-.104513	2.288488	2.378782	1.043192
-.712715	-.997639	-.23026	.727619	.728121	-.575726	-.905904	-.759034	-.119791
1.072749	-.178495	1.371753	.906551	1.039421	.314374	-.750024	-1.128224	-.547776
-.493317	-.966373	-.190895	.982911	.904744	.915354	.25591	-.056075	.536535
-.681228	.992663	1.198057	.052595	.350972	-.102275	-.506336	-.249506	-.024556
-1.066041	-.463183	-.789653	.877593	.159463	.934	-.505904	-.902393	-.336085
-1.123697	-.509235	-1.915808	-1.729507	-1.040032	-1.272429	-2.04841	-.288552	-.4154
1.097967	.82155	1.518772	-.539515	-.230628	-.468538	1.626725	.506603	.353226
.217547	-.510543	.462484	-.204084	-.676099	-1.254914	.348125	.770925	1.520062
1.867403	2.373719	.378133	1.365128	.343344	.299952	1.032391	-.890237	-.491749
.419592	.447692	.668649	-.145566	-.620535	.62618	-.560839	-.353588	-.237419
-1.384739	-.25805	-1.060129	1.244375	.291415	-1.353378	.153717	.305827	.71788
.852366	.380753	.532665	.564901	-.075899	-1.966751	.05735	-.288821	-.640488
.064691	.55737	.693761	.136796	-.265136	1.498416	-.498015	-.623807	-.056178
-.052024	.081369	.789779	1.54597	1.719818	-.231423	.315402	-1.241504	-1.154879
.692395	1.206194	.377158	.736979	.552157	1.862987	.27878	-.90073	.275582
